Learner ID,Course Prefix,Platform,Course Name,Term,AY,Verified,Passed,Credit Converted,Grade
asuLearn84,CHM-500,Inclass,CHM,2244C,AY24,1,0,0,37
asuLearn61,SOC-234,Online,SOC,2234B,AY23,1,1,0,64
asuLearn28,SOC-234,Online,SOC,2241C,AY24,1,0,0,37
asuLearn12,CHM-500,Inclass,CHM,2241C,AY24,1,1,1,7
asuLearn54,MAT-400,Online,MAT,2241A,AY24,0,0,0,98
asuLearn94,ENG-101,Inclass,ENG,2231B,AY23,1,1,1,34
asuLearn73,MAT-101,Online,MAT,2247C,AY24,0,0,0,88
asuLearn45,CHM-300,Inclass,CHM,2231A,AY23,1,1,1,39
asuLearn15,PSY-302,Inclass,PSY,2237A,AY23,1,0,0,67
asuLearn28,SOC-234,Online,SOC,2244A,AY24,1,1,1,72
asuLearn18,SOC-500,Inclass,SOC,2234B,AY23,1,1,1,78
asuLearn52,ENG-101,Inclass,ENG,2247A,AY24,0,0,0,90
asuLearn91,PSY-102,Online,PSY,2244B,AY24,1,0,0,92
asuLearn36,CHM-500,Inclass,CHM,2241C,AY24,1,1,0,78
asuLearn70,MAT-101,Online,MAT,2234C,AY23,1,0,0,6
asuLearn13,SOC-500,Inclass,SOC,2231C,AY23,1,1,1,82
asuLearn75,PSY-302,Inclass,PSY,2234C,AY23,1,1,0,17
asuLearn55,MAT-117,Inclass,MAT,2237B,AY23,1,1,1,89
asuLearn89,ENG-101,Inclass,ENG,2231C,AY23,0,0,0,26
asuLearn04,CHM-300,Inclass,CHM,2231B,AY23,1,0,0,59
asuLearn06,PSY-102,Online,PSY,2241C,AY24,1,0,0,76
asuLearn51,PSY-302,Inclass,PSY,2241B,AY24,0,0,0,48
asuLearn12,MAT-101,Online,MAT,2244A,AY24,0,0,0,46
asuLearn49,PSY-102,Online,PSY,2231B,AY23,1,0,0,85
asuLearn50,MAT-101,Online,MAT,2231A,AY23,1,1,1,56
asuLearn08,MAT-117,Inclass,MAT,2247C,AY24,0,0,0,24
asuLearn43,MAT-117,Inclass,MAT,2241B,AY24,1,1,1,52
asuLearn52,SOC-500,Inclass,SOC,2247C,AY24,1,1,1,76
asuLearn82,MAT-117,Inclass,MAT,2234C,AY23,0,0,0,24
asuLearn81,ENG-101,Inclass,ENG,2237A,AY23,0,0,0,30
asuLearn68,SOC-234,Online,SOC,2237B,AY23,1,1,1,38
asuLearn18,ENG-101,Inclass,ENG,2241C,AY24,1,0,0,22
asuLearn88,MAT-117,Inclass,MAT,2247B,AY24,0,0,0,28
asuLearn83,SOC-500,Inclass,SOC,2241C,AY24,1,0,0,94
asuLearn15,MAT-117,Inclass,MAT,2231C,AY23,1,1,1,48
asuLearn18,MAT-101,Online,MAT,2234B,AY23,0,0,0,32
asuLearn54,PSY-102,Online,PSY,2244A,AY24,0,0,0,49
asuLearn08,MAT-400,Online,MAT,2244B,AY24,1,0,0,49
asuLearn90,MAT-117,Inclass,MAT,2241C,AY24,0,0,0,98
asuLearn36,SOC-500,Inclass,SOC,2237C,AY23,0,0,0,95
asuLearn95,MAT-117,Inclass,MAT,2244C,AY24,0,0,0,93
asuLearn71,CHM-300,Inclass,CHM,2237C,AY23,1,1,0,39
asuLearn73,MAT-101,Online,MAT,2234C,AY23,0,0,0,24
asuLearn33,ENG-101,Inclass,ENG,2244C,AY24,1,0,0,0
asuLearn56,PSY-102,Online,PSY,2237C,AY23,0,0,0,90
asuLearn49,ENG-101,Inclass,ENG,2241B,AY24,0,0,0,32
asuLearn20,MAT-101,Online,MAT,2247B,AY24,1,1,0,39
asuLearn61,MAT-400,Online,MAT,2247B,AY24,0,0,0,59
asuLearn09,MAT-101,Online,MAT,2241A,AY24,0,0,0,70
asuLearn31,ENG-101,Inclass,ENG,2244A,AY24,1,0,0,32
asuLearn97,SOC-234,Online,SOC,2244A,AY24,1,1,1,12
asuLearn43,PSY-102,Online,PSY,2237B,AY23,0,0,0,47
asuLearn29,PSY-302,Inclass,PSY,2234A,AY23,0,0,0,75
asuLearn22,CHM-300,Inclass,CHM,2241A,AY24,0,0,0,7
asuLearn61,PSY-102,Online,PSY,2247B,AY24,0,0,0,85
asuLearn63,SOC-500,Inclass,SOC,2247C,AY24,1,1,1,23
asuLearn45,MAT-117,Inclass,MAT,2241B,AY24,0,0,0,98
asuLearn36,PSY-302,Inclass,PSY,2247A,AY24,0,0,0,63
asuLearn38,CHM-500,Inclass,CHM,2231B,AY23,1,1,0,58
asuLearn20,MAT-117,Inclass,MAT,2247B,AY24,1,1,0,79
asuLearn01,SOC-500,Inclass,SOC,2237A,AY23,1,1,0,92
asuLearn61,PSY-102,Online,PSY,2241A,AY24,0,0,0,24
asuLearn88,CHM-500,Inclass,CHM,2247C,AY24,1,1,1,21
asuLearn91,PSY-302,Inclass,PSY,2231A,AY23,1,1,0,18
asuLearn25,CHM-500,Inclass,CHM,2234C,AY23,1,0,0,7
asuLearn25,MAT-101,Online,MAT,2241A,AY24,1,0,0,19
asuLearn98,MAT-400,Online,MAT,2231C,AY23,0,0,0,63
asuLearn24,SOC-500,Inclass,SOC,2237A,AY23,1,1,1,73
asuLearn89,CHM-500,Inclass,CHM,2241A,AY24,0,0,0,65
asuLearn88,MAT-400,Online,MAT,2241B,AY24,0,0,0,30
asuLearn65,PSY-102,Online,PSY,2247C,AY24,1,1,0,26
asuLearn48,CHM-300,Inclass,CHM,2231C,AY23,1,1,1,1
asuLearn72,CHM-300,Inclass,CHM,2241C,AY24,1,0,0,66
asuLearn60,MAT-400,Online,MAT,2241C,AY24,1,1,1,68
asuLearn12,CHM-300,Inclass,CHM,2231C,AY23,1,1,1,88
asuLearn53,SOC-234,Online,SOC,2237A,AY23,0,0,0,42
asuLearn45,SOC-500,Inclass,SOC,2231A,AY23,0,0,0,64
asuLearn88,CHM-500,Inclass,CHM,2234C,AY23,1,1,0,29
asuLearn89,CHM-300,Inclass,CHM,2231A,AY23,1,0,0,100
asuLearn43,ENG-101,Inclass,ENG,2234B,AY23,1,0,0,79
asuLearn56,SOC-500,Inclass,SOC,2237B,AY23,0,0,0,15
asuLearn99,ENG-101,Inclass,ENG,2234B,AY23,1,0,0,66
asuLearn46,MAT-400,Online,MAT,2234C,AY23,0,0,0,22
asuLearn57,SOC-500,Inclass,SOC,2241A,AY24,0,0,0,31
asuLearn67,MAT-117,Inclass,MAT,2244A,AY24,1,0,0,25
asuLearn96,SOC-234,Online,SOC,2244C,AY24,0,0,0,62
asuLearn80,MAT-101,Online,MAT,2231C,AY23,0,0,0,95
asuLearn13,MAT-117,Inclass,MAT,2244B,AY24,1,1,0,93
asuLearn29,ENG-101,Inclass,ENG,2237A,AY23,0,0,0,84
asuLearn65,MAT-400,Online,MAT,2241B,AY24,0,0,0,44
asuLearn51,CHM-500,Inclass,CHM,2237A,AY23,0,0,0,91
asuLearn61,CHM-500,Inclass,CHM,2241B,AY24,1,1,0,38
asuLearn95,MAT-117,Inclass,MAT,2241B,AY24,0,0,0,99
asuLearn70,MAT-101,Online,MAT,2244A,AY24,1,1,0,34
asuLearn97,MAT-101,Online,MAT,2231A,AY23,1,0,0,53
asuLearn14,CHM-300,Inclass,CHM,2247C,AY24,0,0,0,6
asuLearn35,ENG-101,Inclass,ENG,2241B,AY24,0,0,0,32
asuLearn90,PSY-302,Inclass,PSY,2237C,AY23,0,0,0,72
asuLearn01,SOC-234,Online,SOC,2237B,AY23,0,0,0,55
asuLearn47,SOC-500,Inclass,SOC,2237A,AY23,1,0,0,12
asuLearn55,CHM-500,Inclass,CHM,2247B,AY24,0,0,0,59
asuLearn60,MAT-400,Online,MAT,2244B,AY24,1,0,0,68
asuLearn08,PSY-102,Online,PSY,2234A,AY23,0,0,0,93
asuLearn64,SOC-234,Online,SOC,2241C,AY24,0,0,0,67
asuLearn50,ENG-101,Inclass,ENG,2244A,AY24,1,1,0,84
asuLearn55,MAT-101,Online,MAT,2231A,AY23,0,0,0,90
asuLearn43,MAT-117,Inclass,MAT,2231B,AY23,0,0,0,34
asuLearn13,PSY-302,Inclass,PSY,2244C,AY24,1,0,0,66
asuLearn37,MAT-101,Online,MAT,2244B,AY24,1,1,1,2
asuLearn69,SOC-500,Inclass,SOC,2244A,AY24,0,0,0,6
asuLearn26,MAT-117,Inclass,MAT,2231A,AY23,1,1,1,21
asuLearn87,SOC-500,Inclass,SOC,2244B,AY24,1,0,0,39
asuLearn16,ENG-101,Inclass,ENG,2244A,AY24,1,0,0,61
asuLearn29,ENG-101,Inclass,ENG,2231B,AY23,1,1,1,1
asuLearn78,MAT-117,Inclass,MAT,2244B,AY24,1,1,1,9
asuLearn51,MAT-101,Online,MAT,2247B,AY24,0,0,0,66
asuLearn73,SOC-234,Online,SOC,2237C,AY23,0,0,0,16
asuLearn80,MAT-101,Online,MAT,2231B,AY23,0,0,0,57
asuLearn70,MAT-117,Inclass,MAT,2231A,AY23,1,1,1,7
asuLearn84,PSY-102,Online,PSY,2247C,AY24,0,0,0,73
asuLearn28,CHM-500,Inclass,CHM,2247A,AY24,0,0,0,77
asuLearn76,PSY-302,Inclass,PSY,2237A,AY23,0,0,0,15
asuLearn05,MAT-101,Online,MAT,2237C,AY23,0,0,0,93
asuLearn56,MAT-400,Online,MAT,2241B,AY24,1,1,1,44
asuLearn85,CHM-300,Inclass,CHM,2231B,AY23,0,0,0,25
asuLearn55,CHM-300,Inclass,CHM,2231C,AY23,1,0,0,31
asuLearn59,SOC-500,Inclass,SOC,2244B,AY24,1,1,0,91
asuLearn91,CHM-500,Inclass,CHM,2244B,AY24,0,0,0,81
asuLearn19,SOC-500,Inclass,SOC,2231A,AY23,0,0,0,92
asuLearn46,MAT-117,Inclass,MAT,2244A,AY24,0,0,0,78
asuLearn12,PSY-302,Inclass,PSY,2244C,AY24,0,0,0,10
asuLearn29,PSY-302,Inclass,PSY,2234C,AY23,0,0,0,25
asuLearn86,CHM-500,Inclass,CHM,2247A,AY24,0,0,0,69
asuLearn79,MAT-117,Inclass,MAT,2234A,AY23,1,1,0,24
asuLearn82,CHM-300,Inclass,CHM,2247C,AY24,0,0,0,48
asuLearn42,CHM-500,Inclass,CHM,2241B,AY24,1,1,0,76
asuLearn92,SOC-234,Online,SOC,2237B,AY23,1,1,0,19
asuLearn57,CHM-300,Inclass,CHM,2237C,AY23,1,1,0,68
asuLearn82,MAT-101,Online,MAT,2237A,AY23,1,0,0,42
asuLearn20,PSY-102,Online,PSY,2244A,AY24,0,0,0,71
asuLearn03,MAT-400,Online,MAT,2237A,AY23,1,1,0,98
asuLearn37,PSY-102,Online,PSY,2244B,AY24,0,0,0,2
asuLearn57,MAT-117,Inclass,MAT,2237C,AY23,1,0,0,13
asuLearn45,PSY-102,Online,PSY,2241B,AY24,1,1,0,91
asuLearn21,PSY-302,Inclass,PSY,2241C,AY24,0,0,0,7
asuLearn94,SOC-500,Inclass,SOC,2237C,AY23,1,1,1,63
asuLearn66,CHM-500,Inclass,CHM,2244B,AY24,1,1,1,78
asuLearn13,SOC-234,Online,SOC,2244A,AY24,1,1,0,50
asuLearn07,CHM-300,Inclass,CHM,2241C,AY24,1,1,0,36
asuLearn87,SOC-234,Online,SOC,2234B,AY23,0,0,0,11
asuLearn22,MAT-117,Inclass,MAT,2234C,AY23,0,0,0,21
asuLearn42,MAT-400,Online,MAT,2231A,AY23,0,0,0,53
asuLearn59,SOC-234,Online,SOC,2244B,AY24,1,1,0,11
asuLearn49,PSY-102,Online,PSY,2241A,AY24,1,1,0,61
asuLearn79,PSY-102,Online,PSY,2247A,AY24,1,1,1,0
asuLearn73,MAT-101,Online,MAT,2241B,AY24,0,0,0,95
asuLearn74,MAT-101,Online,MAT,2237A,AY23,1,1,1,48
asuLearn47,MAT-117,Inclass,MAT,2244B,AY24,0,0,0,30
asuLearn01,MAT-101,Online,MAT,2244B,AY24,0,0,0,44
asuLearn41,SOC-500,Inclass,SOC,2237A,AY23,0,0,0,16
asuLearn95,MAT-117,Inclass,MAT,2231C,AY23,0,0,0,45
asuLearn09,PSY-102,Online,PSY,2231A,AY23,0,0,0,7
asuLearn68,SOC-500,Inclass,SOC,2244B,AY24,0,0,0,36
asuLearn70,CHM-300,Inclass,CHM,2234C,AY23,1,0,0,62
asuLearn24,PSY-302,Inclass,PSY,2234A,AY23,1,1,0,47
asuLearn04,MAT-400,Online,MAT,2247B,AY24,0,0,0,39
asuLearn51,MAT-400,Online,MAT,2237A,AY23,0,0,0,49
asuLearn93,SOC-234,Online,SOC,2244B,AY24,1,1,1,19
asuLearn96,PSY-102,Online,PSY,2244B,AY24,0,0,0,12
asuLearn43,ENG-101,Inclass,ENG,2234B,AY23,1,1,0,18
asuLearn63,SOC-234,Online,SOC,2231A,AY23,1,1,1,96
asuLearn55,CHM-300,Inclass,CHM,2237B,AY23,1,1,1,45
asuLearn41,CHM-300,Inclass,CHM,2247A,AY24,0,0,0,4
asuLearn11,SOC-500,Inclass,SOC,2234A,AY23,1,1,0,66
asuLearn90,MAT-117,Inclass,MAT,2241A,AY24,1,0,0,16
asuLearn70,MAT-400,Online,MAT,2241A,AY24,1,0,0,85
asuLearn09,CHM-500,Inclass,CHM,2234B,AY23,0,0,0,29
asuLearn87,PSY-102,Online,PSY,2237C,AY23,0,0,0,64
asuLearn92,MAT-101,Online,MAT,2241C,AY24,0,0,0,34
asuLearn86,ENG-101,Inclass,ENG,2247C,AY24,1,1,0,0
asuLearn48,PSY-102,Online,PSY,2237B,AY23,0,0,0,50
asuLearn61,PSY-302,Inclass,PSY,2241B,AY24,1,1,0,24
asuLearn43,SOC-234,Online,SOC,2231C,AY23,1,1,1,32
asuLearn46,PSY-102,Online,PSY,2241A,AY24,0,0,0,21
asuLearn50,PSY-102,Online,PSY,2234C,AY23,1,1,1,100
asuLearn85,SOC-500,Inclass,SOC,2241A,AY24,1,1,1,18
asuLearn38,ENG-101,Inclass,ENG,2247B,AY24,1,1,1,17
asuLearn24,CHM-500,Inclass,CHM,2247C,AY24,1,0,0,47
asuLearn57,MAT-117,Inclass,MAT,2244C,AY24,1,1,0,6
asuLearn48,PSY-302,Inclass,PSY,2234B,AY23,0,0,0,89
asuLearn36,MAT-101,Online,MAT,2247B,AY24,1,0,0,14
asuLearn55,MAT-101,Online,MAT,2241A,AY24,0,0,0,56
asuLearn69,ENG-101,Inclass,ENG,2234C,AY23,0,0,0,1
asuLearn74,PSY-102,Online,PSY,2231C,AY23,1,0,0,80
asuLearn18,MAT-101,Online,MAT,2237C,AY23,1,1,1,83
asuLearn08,CHM-500,Inclass,CHM,2234B,AY23,0,0,0,14
asuLearn31,PSY-102,Online,PSY,2241A,AY24,1,0,0,93
asuLearn59,MAT-400,Online,MAT,2244C,AY24,1,0,0,14
asuLearn79,PSY-302,Inclass,PSY,2244C,AY24,0,0,0,78
asuLearn74,PSY-102,Online,PSY,2231C,AY23,1,1,1,93
asuLearn78,CHM-500,Inclass,CHM,2244B,AY24,0,0,0,98
asuLearn86,PSY-102,Online,PSY,2241C,AY24,0,0,0,72
asuLearn50,MAT-117,Inclass,MAT,2244A,AY24,0,0,0,18
asuLearn22,CHM-300,Inclass,CHM,2241B,AY24,0,0,0,62
asuLearn91,PSY-302,Inclass,PSY,2234C,AY23,1,0,0,52
asuLearn09,SOC-500,Inclass,SOC,2241B,AY24,0,0,0,10
asuLearn61,CHM-300,Inclass,CHM,2234A,AY23,0,0,0,74
asuLearn81,MAT-117,Inclass,MAT,2241B,AY24,0,0,0,55
asuLearn79,CHM-500,Inclass,CHM,2247B,AY24,0,0,0,78
asuLearn88,CHM-300,Inclass,CHM,2234C,AY23,1,0,0,96
asuLearn14,SOC-500,Inclass,SOC,2237B,AY23,1,1,0,27
asuLearn39,MAT-101,Online,MAT,2247B,AY24,0,0,0,30
asuLearn50,MAT-101,Online,MAT,2244A,AY24,0,0,0,86
